s/d,stress(rol=0),dilation(rol=0),rotation(rol=0),stress(rol=0.0025),dilation(rol=0.0025),rotation(rol=0.0025),stress(rol=0.1),dilation(rol=0.1),rotation(rol=0.1)
0.80513225,-1.553723,0.189754,7334.26,-0.51341,0.189476,1055.52,8.569129,0.189457,227.899
0.807673,-2.032541,0.188847,7354.93,-1.286297,0.188713,1060.02,8.488527,0.188606,228.766
0.810476,-2.655089,0.187847,7377.95,-1.571209,0.187767,1064.56,8.015183,0.187607,229.473
0.8127925,-3.436899,0.186855,7397.37,-2.085341,0.186951,1067.32,7.554834,0.186783,230.264
0.81559825,-4.091472,0.185703,7420.78,-2.202738,0.185871,1070.86,6.521034,0.185719,231.074
0.817871,-4.360043,0.184742,7440.17,-2.273844,0.184994,1074.19,5.897514,0.184803,231.759
0.82037775,-4.439536,0.183685,7461.94,-3.095167,0.183884,1078.28,4.969672,0.183792,232.626
0.82314725,-4.670437,0.18259,7486.03,-3.579457,0.182587,1082.42,4.04588,0.182442,233.908
0.8254265,-5.016243,0.181511,7505.23,-4.376051,0.181541,1085.91,3.47165,0.181458,234.732
0.82823775,-5.73519,0.180172,7527.6,-6.123656,0.180267,1091.23,2.883838,0.18026,235.655
0.830537,-6.316738,0.179127,7545.73,-6.88635,0.179188,1095.19,3.000653,0.179188,236.525
0.833115,-7.234653,0.177853,7566.26,-7.594598,0.178047,1098.82,3.291236,0.17778,237.46
0.83594825,-8.214971,0.17627,7589.31,-7.991307,0.176521,1102.56,2.501001,0.17635,238.514
0.83827375,-9.104426,0.174988,7607.66,-8.031219,0.175152,1106.03,1.539597,0.175137,239.341
0.8411225,-10.270489,0.173351,7629.87,-8.194082,0.173283,1110.88,0.505881,0.173546,240.367
0.84342875,-10.934308,0.1721,7647.96,-8.969723,0.171986,1114.91,-0.461742,0.17223,241.165
0.84603625,-12.202348,0.17067,7667.83,-10.324001,0.170547,1119.68,-1.681405,0.170734,242.495
0.848843,-12.873812,0.169083,7690.04,-11.462297,0.168995,1124.12,-2.432366,0.169178,243.598
0.85108625,-12.795562,0.167789,7707.8,-11.757454,0.167641,1128.27,-2.638012,0.167877,244.365
0.853837,-12.805353,0.165943,7729.81,-11.199759,0.165951,1133.1,-2.417959,0.166161,245.467
0.856104,-13.008688,0.164444,7747.64,-10.871884,0.16444,1136.31,-2.187937,0.164665,246.231
0.858635,-13.37531,0.162727,7767.65,-11.435595,0.162769,1140.4,-2.060063,0.162926,247.226
0.86148975,-14.614775,0.160839,7788.57,-12.301682,0.160831,1145.12,-2.868258,0.160976,248.155
0.86383975,-15.795847,0.159203,7804.98,-13.369542,0.159054,1148.95,-4.326435,0.159309,249.252
0.8667025,-17.129296,0.157063,7824.69,-14.830708,0.157089,1153.1,-6.251869,0.157272,250.499
0.868963,-17.253612,0.155308,7841.96,-15.665414,0.155293,1156.36,-7.402738,0.15564,251.486
0.87149075,-17.585324,0.153389,7861.78,-16.628359,0.153313,1160.04,-8.141696,0.153755,252.552
0.87427775,-18.025252,0.15126,7882.42,-18.152905,0.15099,1164.36,-8.327107,0.151733,253.784
0.876595,-18.821521,0.149479,7899.12,-18.30996,0.149281,1168.06,-8.200368,0.150009,254.55
0.87942725,-19.797516,0.147266,7919.37,-17.991785,0.147324,1172.81,-7.917988,0.147858,255.651
0.88167525,-19.775081,0.145473,7936.22,-17.428666,0.145611,1176.01,-7.639632,0.145893,256.645
0.88417575,-19.786197,0.143261,7955.48,-16.793872,0.143459,1179.84,-8.258011,0.143745,257.619
0.88701325,-20.823354,0.140781,7975.42,-16.967879,0.141029,1184.5,-9.606017,0.141342,258.707
0.88932625,-21.570028,0.138817,7992.5,-17.795079,0.138912,1188.36,-10.886421,0.139317,259.775
0.89208475,-21.673506,0.136368,8013.02,-19.462437,0.136395,1192.52,-12.362536,0.136806,261.298
0.89435925,-21.967583,0.134361,8030.95,-20.832862,0.134338,1196.33,-13.328085,0.134758,262.576
0.89690375,-22.497531,0.132092,8051.5,-22.231738,0.132008,1200.84,-13.763986,0.132496,263.743
0.89967025,-22.697356,0.129494,8074.14,-23.124404,0.129345,1206.48,-13.879204,0.129929,265.033
0.90198275,-23.440125,0.127354,8092,-23.696695,0.127186,1210.92,-13.932172,0.127792,266.035
0.904836,-24.664378,0.124638,8113.96,-24.101381,0.124496,1216.05,-13.836494,0.125065,267.39
0.90717025,-25.664604,0.122372,8132.57,-24.811132,0.122246,1219.96,-14.146469,0.12286,268.417
0.90974725,-26.582149,0.119781,8152.33,-25.125072,0.119778,1223.47,-15.073911,0.120285,269.707
0.912549,-27.197562,0.116806,8172.27,-25.406283,0.11692,1227.36,-16.539346,0.117355,271.341
0.91484025,-27.692016,0.114414,8187.69,-25.704291,0.114464,1231.03,-17.555015,0.115025,272.404
0.91760475,-27.86732,0.111507,8205.91,-26.334597,0.111431,1235.5,-18.391727,0.112061,273.659
0.9199205,-28.650821,0.109089,8221.53,-27.029028,0.109035,1239.37,-18.960679,0.109642,274.697
0.9224775,-29.331911,0.106384,8239.42,-27.858243,0.106377,1243.99,-19.125326,0.106953,275.803
0.9252615,-29.741684,0.103313,8258.5,-28.572573,0.103191,1249.73,-18.969056,0.103844,276.937
0.927556,-30.270862,0.100746,8275.38,-29.22041,0.100758,1254.69,-19.249568,0.101265,277.798
0.93041925,-31.617527,0.097404,8297.67,-29.549059,0.097618,1259.92,-20.29431,0.098011,279.098
0.9327325,-32.373185,0.094704,8316.51,-30.105036,0.094948,1263.51,-21.49999,0.095337,280.103
0.93526575,-32.77399,0.091839,8337.72,-30.677321,0.091888,1267.41,-22.762752,0.092381,281.162
0.9380615,-33.32308,0.088425,8360.31,-31.261226,0.088558,1272.23,-23.992725,0.089123,283.072
0.94037825,-34.119866,0.085644,8378.11,-32.108969,0.085815,1275.75,-24.268632,0.086407,284.341
0.94315925,-34.492922,0.082199,8399.33,-33.156211,0.082363,1280.83,-24.213746,0.083027,285.656
0.945444,-34.911754,0.079453,8416.49,-33.616081,0.079441,1284.96,-23.90391,0.08017,286.79
0.9479925,-35.492992,0.076218,8435.06,-34.114563,0.076294,1289.35,-24.216344,0.076988,287.848
0.950775,-35.885622,0.072742,8455.56,-35.172492,0.072662,1294.23,-25.067362,0.07341,288.902
0.95306975,-36.4222,0.069809,8473.77,-35.915481,0.069786,1298.15,-26.211273,0.070389,289.874
0.95588525,-37.207423,0.066162,8497.6,-36.522274,0.066189,1303.24,-27.554402,0.066666,291.257
0.9582095,-38.092769,0.063183,8517.49,-36.868378,0.063019,1307.77,-28.641781,0.063648,292.525
0.96080175,-39.196475,0.059746,8539.24,-37.801063,0.059574,1312.66,-29.631646,0.060253,294.225
0.9636445,-40.307137,0.055737,8561.97,-38.965697,0.055641,1317.75,-29.577323,0.056507,295.67
0.965984,-41.375429,0.052464,8580.06,-39.365052,0.052486,1322.3,-29.591091,0.053352,297.028
0.96878325,-41.969179,0.048443,8601.42,-39.711332,0.048527,1326.69,-29.684225,0.049438,298.488
0.971095,-42.709604,0.045139,8618.69,-40.546216,0.045284,1329.89,-30.128942,0.046177,299.879
0.973659,-43.47739,0.0415,8638.18,-41.833499,0.041603,1333.52,-31.183544,0.042545,301.125
0.976431,-43.746116,0.037441,8659.84,-42.29387,0.037563,1338.3,-32.591412,0.038467,302.422
0.97871325,-44.137285,0.034058,8677.61,-42.255464,0.034229,1342.19,-33.69583,0.03503,303.66
0.98152175,-44.843434,0.02993,8700.06,-42.386878,0.030182,1347.45,-34.745202,0.030849,305.958
0.98379275,-45.100616,0.026638,8718.1,-42.775939,0.026806,1351.56,-35.059922,0.02742,307.481
0.9862965,-45.15278,0.022701,8739,-43.135743,0.022964,1355.9,-34.85182,0.023552,308.735
0.98907175,-45.462975,0.018402,8763.08,-43.228567,0.01865,1360.33,-34.823664,0.01926,309.913
0.99135475,-45.862214,0.014801,8783.03,-44.247456,0.014938,1363.68,-35.38805,0.015705,310.897
0.9942065,-47.080816,0.010319,8807.2,-46.186945,0.010315,1368.33,-36.417268,0.011318,312.19
0.996579,-48.547862,0.006653,8826.12,-47.436613,0.006481,1373.02,-37.277259,0.007664,313.905
0.99918925,-49.869835,0.002411,8846.29,-48.528595,0.002174,1378.58,-38.598623,0.003525,316.178
1.00128075,-42.037703,0.000961,8631.53,-40.581863,0.000877,1384.76,-37.244289,0.000229,319.117
1.00158775,-18.905861,0.0009,8251.13,-18.209816,0.000736,1347.55,-18.842198,0.000607,302.707
1.001484,15.074831,0.000732,8253.82,15.84181,0.000576,1322.46,16.446957,0.000256,294.657
1.00160925,40.369896,0.000889,8255.92,40.99935,0.000778,1322.99,42.354706,0.00032,294.888
