xCoord,yCoord,zCoord,Deformation
-9.05846,-24.867,34.2728,-0.00251222
-24.0853,14.1558,78.3113,0.0951722
-21.8563,-15.0995,23.3292,0.0758214
-17.3166,20.7764,71.8346,-0.0625899
-14.0263,23.4553,20.9538,0.125011
24.0955,-14.6107,59.4883,0.0211267
26.5613,-9.98837,70.7508,-0.0292459
21.4534,13.5206,-5.65467,-0.0098927
23.3568,13.0759,37.7131,0.090955
12.4298,-23.7215,60.6536,-0.0557398
19.1212,19.2634,87.1454,0.0127349
14.733,-22.5257,77.4692,0.0773392
27.201,3.15764,44.5553,-0.00203633
17.6238,-20.3677,70.6445,-0.00768316
1.23732,-26.3837,88.265,-0.046998
23.6928,-15.0109,77.7588,0.00357723
7.54114,26.5615,57.2231,0.106146
-19.5852,-17.1365,-0.628581,0.0142148
-19.6054,19.8443,90.894,-0.0263121
7.37451,-25.6144,6.30886,-0.0128427
-1.15402,27.5719,50.7853,0.0195544
-19.7605,20.1859,64.933,-0.00794935
-9.85387,-24.1506,84.8722,0.131009
27.3501,-4.31774,13.3663,-0.0343373
0.0454149,-26.6533,1.66382,-0.0779967
-26.6943,-5.93836,21.9386,0.099839
22.034,16.0323,86.0062,0.10763
-20.3125,-20.217,44.9331,0.0173056
-20.565,17.9136,69.0645,-0.0429115
24.6269,-12.2923,56.5492,-0.0194089
22.3775,15.4762,25.6856,0.012501
-27.5014,5.64963,18.4007,-0.0426775
-27.1491,3.52822,71.388,0.11875
-11.313,-24.2006,43.8786,0.0268226
15.3432,-20.6457,1.6078,-0.0130613
4.42339,-26.2428,56.2955,-0.210902
26.1001,8.56858,35.4656,-0.100304
-25.3559,11.8242,14.4423,-0.0288223
-27.3532,1.59,32.5216,0.00938249
-19.0325,-19.5248,22.6194,-0.00736356
15.7537,-22.3657,45.3081,0.0868394
16.7906,-21.4703,74.8536,0.00141835
-21.6666,-12.9372,101.916,0.00482988
24.0506,-15.3714,38.8187,0.11504
-22.2752,14.6538,54.2528,0.096467
-15.094,21.189,18.9442,0.000241041
7.80994,26.3838,70.5467,-0.00412798
-25.1615,11.0283,78.9102,-0.0294237
-7.18969,26.4406,59.9294,0.10052
14.7938,-21.5358,0.814951,-0.00500572
-21.0713,16.8188,16.074,-0.0185287
-27.3634,5.34227,58.6175,0.015234
-23.7873,-13.6714,28.3465,0.0366673
-12.055,23.5779,5.79977,0.0510399
4.00062,-25.7417,18.3875,0.116652
10.3923,-23.0393,98.2954,-0.00390017
21.5742,16.6461,57.2129,0.188203
19.2254,18.858,61.9902,-0.0217324
21.0774,17.979,7.47438,0.0302131
28.1791,-0.207706,18.263,0.0470817
-22.3792,-17.662,39.4911,0.0462277
-13.4206,23.4017,40.9861,-0.0510106
25.2319,1.66566,98.5199,-0.0025382
23.9282,8.1152,-6.43444,0.0103807
5.58686,-24.6665,101.194,0.00486636
-21.7483,16.3107,73.3537,-0.0363553
-23.9458,8.21795,100.149,0.00928879
-10.5373,24.9395,86.3766,0.0784006
9.02281,-25.5284,35.5865,-0.0578215
26.8476,-7.13987,35.0827,0.0160401
1.70803,-26.5776,25.998,-0.0181763
-26.0442,-11.0279,32.4806,0.0379971
21.0626,16.6918,43.1488,0.153221
