Time(s),Extension(mm),ThinMembraneLoad(N),ThickMembraneLoad(N)
42.7,42.70012,6.35594,17.95058
42.8,42.8,6.36956,17.94953
42.9,42.89993,6.37675,17.96497
43,43.00006,6.38465,17.99121
43.1,43.10005,6.39668,18.00317
43.2,43.20005,6.39379,18.0022
43.3,43.29999,6.40297,18.02355
43.4,43.39999,6.42132,18.039
43.5,43.5,6.34183,18.05214
43.6,43.60006,6.36678,18.06838
43.7,43.70006,6.39188,18.06863
43.8,43.79999,6.39766,18.09723
43.9,43.90005,6.41963,18.08986
44,44,6.42546,18.11931
44.1,44.10006,6.4369,18.13033
44.2,44.19993,6.45341,18.13984
44.3,44.30006,6.4511,18.16532
44.4,44.40005,6.47461,18.1671
44.5,44.50005,6.48283,18.18426
44.6,44.6,6.47609,18.2042
44.7,44.69993,6.49484,18.20892
44.8,44.80012,6.49831,18.22632
44.9,44.90012,6.51668,18.23527
45,45.00006,6.52442,18.25402
45.1,45.09999,6.53655,18.27778
45.2,45.19993,6.53848,18.27359
45.3,45.30012,6.5476,18.28094
45.4,45.39999,6.55272,18.3109
45.5,45.49999,6.58212,18.30917
45.6,45.59999,6.57351,18.34733
45.7,45.70006,6.58742,18.33201
45.8,45.80006,6.59636,18.35707
45.9,45.9,6.60877,18.37049
46,45.99993,6.62322,18.37323
46.1,46.10006,6.62537,18.40461
46.2,46.20005,6.62832,18.3929
46.3,46.29999,6.63811,18.41122
46.4,46.39999,6.64754,18.43454
46.5,46.49999,6.66539,18.43801
46.6,46.60005,6.67336,18.45819
46.7,46.70006,6.67132,18.471
46.8,46.80006,6.69071,18.46797
46.9,46.90005,6.68753,18.49614
47,46.99999,6.60872,18.49914
47.1,47.09999,6.64416,18.51781
47.2,47.19993,6.64966,18.52815
47.3,47.29999,6.67574,18.53488
47.4,47.39999,6.67779,18.56003
47.5,47.50005,6.69383,18.55174
47.6,47.59999,6.70854,18.58004
47.7,47.69993,6.71297,18.5975
47.8,47.80012,6.71754,18.59535
47.9,47.90006,6.68342,18.61098
48,48.00005,6.70718,18.62767
48.1,48.10005,6.73117,18.63736
48.2,48.19993,6.72394,18.65409
48.3,48.30006,6.74445,18.6589
48.4,48.40005,6.76684,18.66936
48.5,48.50006,6.74923,18.68921
48.6,48.60005,6.77209,18.69477
48.7,48.70005,6.77617,18.71701
48.8,48.80005,6.79401,18.72005
48.9,48.89999,6.80597,18.74096
49,48.99999,6.80353,18.74625
49.1,49.10012,6.81865,18.75843
49.2,49.19999,6.83519,18.77842
49.3,49.30005,6.83893,18.78984
49.4,49.39993,6.84978,18.79677
49.5,49.5,6.84956,18.81395
49.6,49.60012,6.86876,18.83124
49.7,49.70005,6.87468,18.84785
49.8,49.80005,6.87489,18.86213
49.9,49.89999,6.88391,18.86648
50,50.00005,6.89692,18.88581
50.1,50.10006,6.91001,18.90634
50.2,50.20006,6.80232,18.90894
50.3,50.29999,6.80897,18.93564
50.4,50.40005,6.84168,18.92348
50.5,50.50005,6.85388,18.96186
50.6,50.59999,6.8807,18.97638
50.7,50.69993,6.88902,18.97559
50.8,50.80005,6.88965,18.99557
50.9,50.90006,6.90293,19.00657
51,50.99999,6.91211,19.02757
51.1,51.09999,6.91919,19.03926
51.2,51.19987,6.94368,19.03984
51.3,51.30012,6.94756,19.06806
51.4,51.40006,6.93492,19.08522
51.5,51.49999,6.95222,19.08077
51.6,51.59999,6.95007,19.10542
51.7,51.70005,6.94818,19.11051
51.8,51.79999,6.96232,19.13614
51.9,51.89999,6.97561,19.14312
52,51.99999,6.99191,19.14326
52.1,52.10005,6.99771,19.17329
52.2,52.20005,7.01377,19.18031
52.3,52.30006,7.01847,19.20195
52.4,52.39993,7.00961,19.21158
52.5,52.49999,7.03078,19.22215
52.6,52.60012,6.92161,19.2503
52.7,52.69999,6.95299,19.25813
52.8,52.79999,6.96983,19.26453
52.9,52.89993,7.03612,19.28198
53,53.00011,7.00533,19.29426
53.1,53.10012,7.00016,19.31132
53.2,53.20006,7.01096,19.32542
53.3,53.30006,7.03589,19.32309
